intent,utterance,expected_action,forbidden_action,priority
cancel_intent,今日はいいしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今日はいいで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,今回はいいで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしででいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしででええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,なしでで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消ししようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,取り消しで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙ででいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙ででええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,白紙でで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなししようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,やっぱなしで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もうええわで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,もういいですで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,いったんやめるで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約せんでいいで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないでいいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないかも,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないわ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないわー,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないっす,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないっすね,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないで頼む,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないでええ,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないしといて,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないして,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないしよかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないしようかな,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないで大丈夫,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,予約いらないで大丈夫です,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,切っていいで,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,切っていいです,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,切っていいお願いします,予約導線を終了する,selected_therapistへ保存しない,100
cancel_intent,切っていいでいいです,予約導線を終了する,selected_therapistへ保存しない,100
referral_intent,紹介なんだけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いて,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達から紹介で,紹介者名を聞く,日時確認へ進まない,90
referral_intent,知り合いの紹介です,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介で来ました,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介の名前言えばいい？,紹介者名を聞く,日時確認へ進まない,90
referral_intent,ツレに聞いたんやけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,先輩から聞いた,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介割あるって聞いて,紹介者名を聞く,日時確認へ進まない,90
referral_intent,誰の紹介って言えばいい？,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介です,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介なんやけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介なんすけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介で,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介でして,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介っす,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介ばい,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介たい,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介やけん,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介で電話しました,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介って聞いた,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介って言われた,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介の件です,紹介者名を聞く,日時確認へ進まない,90
referral_intent,紹介でお願いしたい,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてです,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてなんだけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてなんやけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてなんすけど,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてで,紹介者名を聞く,日時確認へ進まない,90
referral_intent,友達に聞いてでして,紹介者名を聞く,日時確認へ進まない,90
