intent,example
予約希望,20分くらいに着けるんですけど入れます？
予約希望,今からから90分いけます？
予約希望,急でごめん、今日空いてますか
予約希望,21時くらいに一人入れますか
予約希望,週末に落ち着いた人お願いできます？
予約希望,今から玲奈さんお願いできます？
予約希望,ベテランの方で予約取りたい
予約希望,すいません、予約したいです
予約希望,えっと、今日誰かいる？
予約希望,今晩空いてる？
予約希望,前にも行ったんですけど、予約したいです
予約希望,平日の夜に一人入れますか
予約希望,夜に前に入った子お願いできます？
予約希望,お兄さん、今日空いてますか
予約希望,話しやすい人で予約取りたい
予約希望,明日の夜、フリーで取れます？
予約希望,1時間くらいに着けるんですけど入れます？
予約希望,あの、今日空いてますか
予約希望,あー、まだ入れる？
予約希望,下4桁4404で予約入れてください
予約希望,もしもし、今日誰かいる？
予約希望,終電前、フリーで取れます？
予約希望,30分くらいに着けるんですけど入れます？
予約希望,お兄さん、まだ入れる？
予約希望,今いいですか、予約したいです
予約希望,悪いんだけど、まだ入れる？
予約希望,夕方、フリーで取れます？
予約希望,21時くらいで予約したい
予約希望,すいません、まだ入れる？
予約希望,さっき電話した者ですけど、予約したいです
予約希望,ちょっと、まだ入れる？
予約希望,急でごめん、予約したいです
予約希望,19時で予約したい
予約希望,あー、今から行ける？
予約希望,空いとる？
予約希望,今日で予約したい
予約希望,あー、予約したいです
予約希望,2時間くらいに着けるんですけど入れます？
予約希望,日曜に話しやすい人お願いできます？
予約希望,このあと葵さんお願いできます？
予約希望,20時、フリーで取れます？
予約希望,えっと、今から行ける？
予約希望,20時に今日いる子お願いできます？
予約希望,週末、フリーで取れます？
予約希望,あの、まだ入れる？
予約希望,前にも行ったんですけど、今日誰かいる？
予約希望,ちょっと、今から行ける？
予約希望,このあと、フリーで取れます？
予約希望,kanaさんで予約取りたい
予約希望,登録してる番号で予約入れてください
予約希望,ちょっと、今日空いてますか
予約希望,今日空いてますか
予約希望,仕事終わりなんですけど、今日空いてますか
予約希望,今日、フリーで取れます？
予約希望,このあと入れます？
予約希望,日曜から初回コースいけます？
予約希望,あー、今日誰かいる？
予約希望,まだ入れる？
予約希望,終電前で予約したい
予約希望,23時の120分でお願いしたい
予約希望,20時で予約したい
予約希望,070の番号で予約入れてください
予約希望,玲奈さんで予約取りたい
予約希望,今から行ける？
予約希望,20時からおすすめのコースいけます？
予約希望,仕事終わりなんですけど、予約したいです
予約希望,飲んでてすみません、まだ入れる？
予約希望,22時前で予約したい
予約希望,深夜に話しやすい人お願いできます？
予約希望,19時に一人入れますか
予約希望,日曜に一人入れますか
予約希望,出先なんですけど、まだ入れる？
予約希望,もしもし、今日空いてますか
予約希望,今日お願いできます？
予約希望,ちょっと酔ってるんだけど、今から行ける？
予約希望,前にも行ったんですけど、まだ入れる？
予約希望,初めてなんですけど予約できます？
予約希望,えーとですね、予約したいです
予約希望,22時前に玲奈さんお願いできます？
予約希望,週末のロングでお願いしたい
予約希望,仕事終わりのスタンダードでお願いしたい
予約希望,えっと、予約したいです
予約希望,飲んでてすみません、一人お願いしたい
予約希望,一人お願いしたい
予約希望,さっき電話した者ですけど、今日空いてますか
予約希望,夜から普通のコースいけます？
予約希望,ちょっと酔ってるんだけど、予約したいです
予約希望,今晩で予約したい
予約希望,23時、フリーで取れます？
予約希望,仕事終わり、フリーで取れます？
予約希望,明日の夜に新人さんお願いできます？
予約希望,前にも行ったんですけど、今日空いてますか
予約希望,22時前から90分いけます？
予約希望,予約できると？
予約希望,一番早い時間で入れて
予約希望,前にも行ったんですけど、今から行ける？
予約希望,名前は鈴木で予約したい
予約希望,今晩から短いやついけます？
予約希望,名前は山田で予約したい
予約希望,すみません、一人お願いしたい
予約希望,あの、一人お願いしたい
予約希望,今いいですか、今日誰かいる？
予約希望,名前は大盛りで予約したい
予約希望,悪いんだけど、今から行ける？
予約希望,飲んでてすみません、今日誰かいる？
予約希望,今いいですか、今から行ける？
予約希望,えっと、今日空いてますか
予約希望,明日の夜のスタンダードでお願いしたい
予約希望,すいません、今日誰かいる？
予約希望,電波悪いかもですけど、まだ入れる？
予約希望,1時間後からおすすめのコースいけます？
予約希望,今から向かってもいい？
予約希望,今いいですか、一人お願いしたい
予約希望,初めてなんですけど、一人お願いしたい
予約希望,初めてなんですけど、今から行ける？
予約希望,お兄さん、今日誰かいる？
予約希望,20時に一人入れますか
予約希望,今から、フリーで取れます？
予約希望,えーとですね、今から行ける？
予約希望,夕方からロングいけます？
予約希望,仕事終わりに一人入れますか
予約希望,電話で予約したいです
予約希望,名前は前田で予約したい
予約希望,平日の夜から一番安いやついけます？
予約希望,新人さんで予約取りたい
予約希望,名前は中村で予約したい
予約希望,携帯で予約入れてください
予約希望,前と同じ番号で予約入れてください
予約希望,今日誰かいる？
予約希望,明日の昼、フリーで取れます？
予約希望,すみません、今から行ける？
予約希望,さっき電話した者ですけど、今日誰かいる？
予約希望,日曜で予約したい
予約希望,すみません、今日誰かいる？
予約希望,終電前に一人入れますか
予約希望,夜で予約したい
予約希望,平日の夜の一番安いやつでお願いしたい
予約希望,初めてなんですけど、まだ入れる？
予約希望,前に入った子で予約取りたい
予約希望,すみません、今日空いてますか
予約希望,フリーでお願いしたい
予約希望,今日美咲さんお願いできます？
予約希望,電波悪いかもですけど、予約したいです
予約希望,今いいですか、まだ入れる？
予約希望,今からそっち向かいたい
予約希望,予約したいです
予約希望,予約できますか？
予約希望,1時間後で予約したい
予約希望,もしもし、今から行ける？
予約希望,名前は伊藤で予約したい
予約希望,深夜から初回コースいけます？
予約希望,今日の60分でお願いしたい
予約希望,急でごめん、まだ入れる？
予約希望,名前は田中で予約したい
予約希望,今晩一人入れますか
予約希望,えーとですね、まだ入れる？
予約希望,初めてなんですけど、予約したいです
予約希望,初めてなんですけど、今日空いてますか
予約希望,今晩、フリーで取れます？
予約希望,この番号で予約入れてください
予約希望,仕事終わりなんですけど、一人お願いしたい
予約希望,えーとですね、今日誰かいる？
予約希望,あの、今から行ける？
予約希望,19時、フリーで取れます？
予約希望,出先なんですけど、今から行ける？
予約希望,今日一人入れますか
予約希望,22時前に一人入れますか
予約希望,夕方で予約したい
予約希望,1時間後のおすすめのコースでお願いしたい
予約希望,今からの90分でお願いしたい
予約希望,ちょっと酔ってるんだけど、今日誰かいる？
予約希望,あー、一人お願いしたい
予約希望,深夜で予約したい
予約希望,19時にベテランの方お願いできます？
予約希望,今晩の短いやつでお願いしたい
予約希望,明日の昼で予約したい
予約希望,悪いんだけど、一人お願いしたい
予約希望,あー、今日空いてますか
予約希望,日曜の初回コースでお願いしたい
予約希望,21時くらいに美咲さんお願いできます？
予約希望,23時で予約したい
予約希望,空きあります？
予約希望,深夜、フリーで取れます？
予約希望,深夜の初回コースでお願いしたい
予約希望,今すぐいける？
予約希望,平日の夜にベテランの方お願いできます？
予約希望,ちょっと酔ってるんだけど、今日空いてますか
予約希望,ちょっと酔ってるんだけど、まだ入れる？
予約希望,さっき電話した者ですけど、一人お願いしたい
予約希望,美咲さんで予約取りたい
予約希望,出先なんですけど、今日誰かいる？
予約希望,深夜に一人入れますか
予約希望,悪いんだけど、今日空いてますか
予約希望,出先なんですけど、一人お願いしたい
予約希望,明日の昼の普通のコースでお願いしたい
予約希望,日曜、フリーで取れます？
予約希望,仕事終わりなんですけど、今日誰かいる？
予約希望,週末に一人入れますか
予約希望,さっき電話した者ですけど、まだ入れる？
予約希望,21時くらいから60分いけます？
予約希望,仕事終わりで予約したい
予約希望,仕事終わりなんですけど、今から行ける？
予約希望,少しくらいに着けるんですけど入れます？
予約希望,名前は佐藤で予約したい
予約希望,週末からロングいけます？
予約希望,すみません、予約したいです
予約希望,このあとで予約したい
予約希望,23時から120分いけます？
予約希望,最短でお願いしたい
予約希望,葵さんで予約取りたい
予約希望,終電前にkanaさんお願いできます？
予約希望,ちょっと、予約したいです
予約希望,お兄さん、今から行ける？
予約希望,平日の夜、フリーで取れます？
予約希望,20時のおすすめのコースでお願いしたい
予約希望,週末で予約したい
予約希望,明日の夜に一人入れますか
予約希望,23時に一人入れますか
予約希望,初めてなんですけど、今日誰かいる？
予約希望,このあとの120分でお願いしたい
予約希望,えっと、まだ入れる？
予約希望,急でごめん、今から行ける？
予約希望,今日から60分いけます？
予約希望,15分くらいに着けるんですけど入れます？
予約希望,夕方に落ち着いた人お願いできます？
予約希望,さっき電話した者ですけど、今から行ける？
予約希望,電波悪いかもですけど、今から行ける？
予約希望,あの、予約したいです
予約希望,すみません、まだ入れる？
予約希望,1時間後に一人入れますか
予約希望,すいません、一人お願いしたい
予約希望,予約、取れるなら取りたい
予約希望,予約取りたいんだけど
予約希望,電波悪いかもですけど、一人お願いしたい
予約希望,仕事終わりに新人さんお願いできます？
予約希望,今日いる子で予約取りたい
予約希望,19時の一番安いやつでお願いしたい
予約希望,夕方に一人入れますか
予約希望,今から行ってもええ？
予約希望,明日の夜からスタンダードいけます？
予約希望,ちょっと、一人お願いしたい
空き確認,20分後に行ける空きある？
空き確認,出先なんですけど、今日空いてます？
空き確認,今空いてる人います？
空き確認,悪いんだけど、このあと空きある？
空き確認,前にも行ったんですけど、何時なら空いてますか
空き確認,飲んでてすみません、空きありますか？
空き確認,急でごめん、このあと空きある？
空き確認,フリーなら19時空いてます？
空き確認,夕方にロング取れます？
空き確認,夜の空きありますか
空き確認,もしもし、今日空いてます？
空き確認,仕事終わりで部屋空いてます？
空き確認,あの、空きありますか？
空き確認,お兄さん、空きありますか？
空き確認,今晩の空きありますか
空き確認,120分なら最短何時ですか
空き確認,前にも行ったんですけど、空きありますか？
空き確認,急でごめん、空きありますか？
空き確認,予約埋まってます？
空き確認,今いいですか、今から空いてる？
空き確認,明日の夜から入れる人います？
空き確認,電波悪いかもですけど、このあと空きある？
空き確認,電波悪いかもですけど、今から空いてる？
空き確認,303の部屋って空いてます？
空き確認,1時間後の空きありますか
空き確認,すいません、今日空いてます？
空き確認,20時で部屋空いてます？
空き確認,1時間後に行ける空きある？
空き確認,ちょっと、このあと空きある？
空き確認,えーとですね、このあと空きある？
空き確認,一番安いやつなら最短何時ですか
空き確認,週末にロング取れます？
空き確認,フリーなら平日の夜空いてます？
空き確認,ちょっと、今日空いてます？
空き確認,仕事終わりの空きありますか
空き確認,もしもし、何時なら空いてますか
空き確認,夕方から入れる人います？
空き確認,すいません、空きありますか？
空き確認,フリーなら週末空いてます？
空き確認,週末で部屋空いてます？
空き確認,21時くらいの空きありますか
空き確認,えーとですね、今から空いてる？
空き確認,えーとですね、何時なら空いてますか
空き確認,空きありますか？
空き確認,フリーなら1時間後空いてます？
空き確認,あの、何時なら空いてますか
空き確認,玲奈さんは22時前空いてます？
空き確認,仕事終わりの枠まだあります？
空き確認,ベテランの方は19時空いてます？
空き確認,すみません、今から空いてる？
空き確認,すいません、今日の夜空きあります？
空き確認,すみません、何時なら空いてますか
空き確認,あー、今から空いてる？
空き確認,フリーなら今晩空いてます？
空き確認,今いいですか、このあと空きある？
空き確認,日曜から入れる人います？
空き確認,初回コースなら最短何時ですか
空き確認,ちょっと酔ってるんだけど、今日空いてます？
空き確認,kanaさんは終電前空いてます？
空き確認,フリーならこのあと空いてます？
空き確認,前に入った子は夜空いてます？
空き確認,このあとから入れる人います？
空き確認,空いてなかったら大丈夫
空き確認,週末の枠まだあります？
空き確認,あの、今から空いてる？
空き確認,すいません、今から空いてる？
空き確認,いつもの部屋の部屋って空いてます？
空き確認,新人さんは仕事終わり空いてます？
空き確認,今日いる子は20時空いてます？
空き確認,お兄さん、今から空いてる？
空き確認,22時前に90分取れます？
空き確認,今日の枠まだあります？
空き確認,このあとの枠まだあります？
空き確認,もしもし、今から空いてる？
空き確認,ちょっと、空きありますか？
空き確認,今からの空きありますか
空き確認,フリーなら夕方空いてます？
空き確認,短いやつなら最短何時ですか
空き確認,何分待ちですか
空き確認,出先なんですけど、空きありますか？
空き確認,仕事終わりにスタンダード取れます？
空き確認,20時の空きありますか
空き確認,90分なら最短何時ですか
空き確認,深夜の空きありますか
空き確認,飲んでてすみません、今から空いてる？
空き確認,普通のコースなら最短何時ですか
空き確認,今いいですか、何時なら空いてますか
空き確認,ちょっと、今日の夜空きあります？
空き確認,1時間後で部屋空いてます？
空き確認,夜に普通のコース取れます？
空き確認,空いとる時間ある？
空き確認,今から空いてる？
空き確認,夜の枠まだあります？
空き確認,20時から入れる人います？
空き確認,急に行ける枠ある？
空き確認,夜から入れる人います？
空き確認,出先なんですけど、このあと空きある？
空き確認,22時前の枠まだあります？
空き確認,仕事終わりなんですけど、空きありますか？
空き確認,今からの枠まだあります？
空き確認,飲んでてすみません、このあと空きある？
空き確認,23時で部屋空いてます？
空き確認,さっき電話した者ですけど、空きありますか？
空き確認,フリーなら深夜空いてます？
空き確認,明日の夜の空きありますか
空き確認,23時から入れる人います？
空き確認,美咲さんは21時くらい空いてます？
空き確認,えっと、今日の夜空きあります？
空き確認,夜で部屋空いてます？
空き確認,玲奈さんは今から空いてます？
空き確認,あの、今日空いてます？
空き確認,平日の夜で部屋空いてます？
空き確認,フリーなら20時空いてます？
空き確認,21時くらいから入れる人います？
空き確認,初めてなんですけど、空きありますか？
空き確認,日曜に初回コース取れます？
空き確認,明日の昼に普通のコース取れます？
空き確認,あー、このあと空きある？
空き確認,ロングなら最短何時ですか
空き確認,さっき電話した者ですけど、今から空いてる？
空き確認,話しやすい人は深夜空いてます？
空き確認,前にも行ったんですけど、このあと空きある？
空き確認,今日60分取れます？
空き確認,仕事終わりなんですけど、今日空いてます？
空き確認,お兄さん、今日空いてます？
空き確認,フリーなら仕事終わり空いてます？
空き確認,落ち着いた人は夕方空いてます？
空き確認,飲んでてすみません、今日空いてます？
空き確認,初めてなんですけど、今日の夜空きあります？
空き確認,終電前の枠まだあります？
空き確認,このあと120分取れます？
空き確認,何時ならよか？
空き確認,初めてなんですけど、何時なら空いてますか
空き確認,えっと、空きありますか？
空き確認,深夜空いてます？
空き確認,えっと、このあと空きある？
空き確認,明日の昼の枠まだあります？
空き確認,フリーなら終電前空いてます？
空き確認,このあとの空きありますか
空き確認,1時間後におすすめのコース取れます？
空き確認,30分後に行ける空きある？
空き確認,フリーなら21時くらい空いてます？
空き確認,酔ってるけど空きある？
空き確認,悪いんだけど、空きありますか？
空き確認,出先なんですけど、今から空いてる？
空き確認,すいません、何時なら空いてますか
空き確認,今から90分取れます？
空き確認,お兄さん、このあと空きある？
空き確認,202の部屋って空いてます？
空き確認,すみません、今日空いてます？
空き確認,悪いんだけど、今日の夜空きあります？
空き確認,前にも行ったんですけど、今日空いてます？
空き確認,ちょっと、今から空いてる？
空き確認,明日の夜にスタンダード取れます？
空き確認,19時に一番安いやつ取れます？
空き確認,すいません、このあと空きある？
空き確認,明日の夜で部屋空いてます？
空き確認,平日の夜から入れる人います？
空き確認,出先なんですけど、何時なら空いてますか
空き確認,フリーなら明日の昼空いてます？
空き確認,フリーなら明日の夜空いてます？
空き確認,日曜で部屋空いてます？
空き確認,21時くらいに60分取れます？
空き確認,一番早い空き教えて
空き確認,今晩の枠まだあります？
空き確認,あー、何時なら空いてますか
空き確認,kanaさんは今晩空いてます？
空き確認,落ち着いた人は週末空いてます？
空き確認,終電前に短いやつ取れます？
空き確認,仕事終わりなんですけど、今から空いてる？
空き確認,えーとですね、今日空いてます？
空き確認,15分後に行ける空きある？
空き確認,このあとで部屋空いてます？
空き確認,電波悪いかもですけど、何時なら空いてますか
空き確認,平日の夜の空きありますか
空き確認,ベテランの方は平日の夜空いてます？
空き確認,ちょっと酔ってるんだけど、何時なら空いてますか
空き確認,60分なら最短何時ですか
空き確認,夕方の枠まだあります？
空き確認,今日の空きありますか
空き確認,今晩から入れる人います？
空き確認,深夜から入れる人います？
空き確認,週末から入れる人います？
空き確認,少し後に行ける空きある？
空き確認,フリーなら23時空いてます？
空き確認,待てば入れます？
空き確認,23時に120分取れます？
空き確認,初めてなんですけど、このあと空きある？
空き確認,終電前から入れる人います？
空き確認,平日の夜の枠まだあります？
空き確認,もしもし、今日の夜空きあります？
空き確認,今日まだいけるん？
空き確認,今からで部屋空いてます？
空き確認,えっと、今日空いてます？
空き確認,明日の昼で部屋空いてます？
空き確認,101の部屋って空いてます？
空き確認,今日いる子は1時間後空いてます？
空き確認,ちょっと、何時なら空いてますか
空き確認,急でごめん、何時なら空いてますか
空き確認,悪いんだけど、今日空いてます？
空き確認,すみません、今日の夜空きあります？
空き確認,19時で部屋空いてます？
空き確認,ちょっと酔ってるんだけど、このあと空きある？
空き確認,今行ったら入れる？
空き確認,今からから入れる人います？
空き確認,平日の夜に一番安いやつ取れます？
空き確認,あー、今日空いてます？
空き確認,23時の枠まだあります？
空き確認,まだ枠あります？
空き確認,今いいですか、空きありますか？
空き確認,今いいですか、今日空いてます？
空き確認,えーとですね、空きありますか？
空き確認,前にも行ったんですけど、今から空いてる？
空き確認,スタンダードなら最短何時ですか
空き確認,今いいですか、今日の夜空きあります？
空き確認,葵さんは23時空いてます？
空き確認,電波悪いかもですけど、空きありますか？
空き確認,夕方で部屋空いてます？
空き確認,今晩短いやつ取れます？
空き確認,1時間後の枠まだあります？
空き確認,あの、今日の夜空きあります？
空き確認,もしもし、空きありますか？
空き確認,今晩で部屋空いてます？
空き確認,前の部屋の部屋って空いてます？
空き確認,フリーなら今から空いてます？
空き確認,深夜の枠まだあります？
空き確認,終電前の空きありますか
空き確認,21時くらいで部屋空いてます？
空き確認,週末の空きありますか
空き確認,最短いつですか
空き確認,20時におすすめのコース取れます？
空き確認,深夜で部屋空いてます？
空き確認,深夜に初回コース取れます？
空き確認,仕事終わりなんですけど、何時なら空いてますか
空き確認,日曜の空きありますか
空き確認,部屋空いてます？
空き確認,ちょっと酔ってるんだけど、今から空いてる？
空き確認,何時なら空いてますか
空き確認,悪いんだけど、何時なら空いてますか
空き確認,美咲さんは今日空いてます？
空き確認,22時前から入れる人います？
空き確認,えっと、何時なら空いてますか
空き確認,悪いんだけど、今から空いてる？
空き確認,日曜の枠まだあります？
空き確認,今日まだ余裕あります？
空き確認,えっと、今から空いてる？
空き確認,仕事終わりから入れる人います？
空き確認,飲んでてすみません、何時なら空いてますか
空き確認,今日空いてます？
空き確認,急でごめん、今から空いてる？
空き確認,電波悪いかもですけど、今日空いてます？
空き確認,すみません、空きありますか？
空き確認,明日の昼から入れる人います？
空き確認,1時間後から入れる人います？
空き確認,20時の枠まだあります？
空き確認,23時の空きありますか
空き確認,10分後に行ける空きある？
空き確認,すぐ入れる枠あります？
空き確認,フリーなら今日空いてます？
空き確認,お兄さん、何時なら空いてますか
空き確認,フリーなら日曜空いてます？
空き確認,今晩空いてまっか
空き確認,19時の空きありますか
空き確認,終電前で部屋空いてます？
空き確認,話しやすい人は日曜空いてます？
空き確認,ちょっと酔ってるんだけど、空きありますか？
空き確認,明日の昼の空きありますか
空き確認,今日、空き、あります？
空き確認,夕方の空きありますか
空き確認,2時間後に行ける空きある？
空き確認,もしもし、このあと空きある？
空き確認,仕事終わりなんですけど、このあと空きある？
空き確認,明日の夜の枠まだあります？
空き確認,前に入った子は明日の昼空いてます？
空き確認,さっき電話した者ですけど、今日空いてます？
空き確認,新人さんは明日の夜空いてます？
空き確認,おすすめのコースなら最短何時ですか
空き確認,22時前の空きありますか
空き確認,19時から入れる人います？
空き確認,あの、このあと空きある？
空き確認,えっと空きだけ聞きたい
空き確認,今日の夜空きあります？
空き確認,さっき電話した者ですけど、何時なら空いてますか
空き確認,40分後に行ける空きある？
空き確認,今日から入れる人います？
空き確認,あー、空きありますか？
空き確認,初めてなんですけど、今日空いてます？
空き確認,このあと空きある？
空き確認,すみません、このあと空きある？
空き確認,空き状況知りたいです
空き確認,22時前で部屋空いてます？
空き確認,21時くらいの枠まだあります？
空き確認,19時の枠まだあります？
空き確認,フリーなら夜空いてます？
空き確認,さっき電話した者ですけど、このあと空きある？
空き確認,急でごめん、今日空いてます？
空き確認,葵さんはこのあと空いてます？
空き確認,初めてなんですけど、今から空いてる？
空き確認,フリーなら22時前空いてます？
空き確認,今日で部屋空いてます？
料金確認,現金だとスタンダードいくら？
料金確認,今いいですか、支払いは現金だけ？
料金確認,料金表ありますか
料金確認,電波悪いかもですけど、支払いは現金だけ？
料金確認,今いいですか、カード使えます？
料金確認,お金いくら持ってけばいい？
料金確認,あの、一番安いコースいくら？
料金確認,仕事終わりだと深夜料金あります？
料金確認,えっと、90分はいくら？
料金確認,飲んでてすみません、初回料金教えて
料金確認,60分の料金いくらですか
料金確認,初めてなんですけど、支払いは現金だけ？
料金確認,なんぼですか？
料金確認,初めてなんですけど、一番安いコースいくら？
料金確認,話しやすい人指名だといくら増えます？
料金確認,もしもし、支払いは現金だけ？
料金確認,飲んでてすみません、一番安いコースいくら？
料金確認,120分で総額いくら？
料金確認,急でごめん、指名料あります？
料金確認,出先なんですけど、料金いくらですか？
料金確認,ちょっと、支払いは現金だけ？
料金確認,短いやつに指名料足すといくら？
料金確認,飲んでてすみません、延長いくらですか
料金確認,初回で90分ならいくら？
料金確認,延長10分っていくらですか
料金確認,飲んでてすみません、総額いくらになります？
料金確認,20時だと深夜料金あります？
料金確認,前にも行ったんですけど、90分はいくら？
料金確認,指名料あります？
料金確認,もしもし、一番安いコースいくら？
料金確認,今いいですか、料金いくらですか？
料金確認,あー、支払いは現金だけ？
料金確認,明日の昼だと深夜料金あります？
料金確認,現金だと一番安いやついくら？
料金確認,えーとですね、料金いくらですか？
料金確認,すいません、初回料金教えて
料金確認,前にも行ったんですけど、指名料あります？
料金確認,延長15分っていくらですか
料金確認,仕事終わりなんですけど、支払いは現金だけ？
料金確認,急でごめん、初回料金教えて
料金確認,えーとですね、カード使えます？
料金確認,ちょっと、指名料あります？
料金確認,えーとですね、延長いくらですか
料金確認,初回でロングならいくら？
料金確認,90分はいくら？
料金確認,飲んでてすみません、支払いは現金だけ？
料金確認,普通のコースの料金いくらですか
料金確認,すいません、指名料あります？
料金確認,急でごめん、総額いくらになります？
料金確認,えっと、総額いくらになります？
料金確認,ロングで総額いくら？
料金確認,カード使えます？
料金確認,初回で普通のコースならいくら？
料金確認,初回でスタンダードならいくら？
料金確認,ちょっと、カード使えます？
料金確認,初めてだといくら？
料金確認,普通のコースに指名料足すといくら？
料金確認,込みでなんぼになる？
料金確認,えーとですね、初回料金教えて
料金確認,あの、指名料あります？
料金確認,もしもし、料金表ありますか
料金確認,コース料金聞きたいです
料金確認,あの、90分はいくら？
料金確認,初めてなんですけど、料金いくらですか？
料金確認,電波悪いかもですけど、初回料金教えて
料金確認,すみません、指名料あります？
料金確認,60分に指名料足すといくら？
料金確認,90分で総額いくら？
料金確認,すみません、料金いくらですか？
料金確認,お兄さん、料金いくらですか？
料金確認,現金だと60分いくら？
料金確認,さっき電話した者ですけど、指名料あります？
料金確認,ロングはいくらですか
料金確認,現金だと120分いくら？
料金確認,さっき電話した者ですけど、90分はいくら？
料金確認,今いいですか、総額いくらになります？
料金確認,さっき電話した者ですけど、一番安いコースいくら？
料金確認,さっき電話した者ですけど、総額いくらになります？
料金確認,悪いんだけど、料金いくらですか？
料金確認,今いいですか、指名料あります？
料金確認,もしもし、料金いくらですか？
料金確認,90分に指名料足すといくら？
料金確認,落ち着いた人指名だといくら増えます？
料金確認,前にも行ったんですけど、支払いは現金だけ？
料金確認,別料金あります？
料金確認,前にも行ったんですけど、カード使えます？
料金確認,あー、料金いくらですか？
料金確認,すいません、90分はいくら？
料金確認,出先なんですけど、総額いくらになります？
料金確認,ちょっと、延長いくらですか
料金確認,出先なんですけど、指名料あります？
料金確認,新人さん指名だといくら増えます？
料金確認,仕事終わりなんですけど、初回料金教えて
料金確認,延長少しっていくらですか
料金確認,電波悪いかもですけど、延長いくらですか
料金確認,えっと、延長いくらですか
料金確認,えっと、指名料あります？
料金確認,えっと、カード使えます？
料金確認,悪いんだけど、支払いは現金だけ？
料金確認,おすすめのコースに指名料足すといくら？
料金確認,もしもし、総額いくらになります？
料金確認,えっと、料金いくらですか？
料金確認,仕事終わりなんですけど、90分はいくら？
料金確認,短いやつで総額いくら？
料金確認,今いいですか、一番安いコースいくら？
料金確認,深夜だと深夜料金あります？
料金確認,もしもし、指名料あります？
料金確認,すいません、一番安いコースいくら？
料金確認,出先なんですけど、延長いくらですか
料金確認,初回でおすすめのコースならいくら？
料金確認,えっと金額だけ聞きたい
料金確認,今いいですか、延長いくらですか
料金確認,初めてなんですけど、90分はいくら？
料金確認,今日だと深夜料金あります？
料金確認,延長20分っていくらですか
料金確認,ちょっと酔ってるんだけど、延長いくらですか
料金確認,ちょっと酔ってるんだけど、一番安いコースいくら？
料金確認,悪いんだけど、90分はいくら？
料金確認,19時だと深夜料金あります？
料金確認,初回コースに指名料足すといくら？
料金確認,お兄さん、一番安いコースいくら？
料金確認,明日の夜だと深夜料金あります？
料金確認,現金だと短いやついくら？
料金確認,ベテランの方指名だといくら増えます？
料金確認,ちょっと酔ってるんだけど、90分はいくら？
料金確認,90分の料金いくらですか
料金確認,週末だと深夜料金あります？
料金確認,出先なんですけど、90分はいくら？
料金確認,あの、初回料金教えて
料金確認,初めてなんですけど、初回料金教えて
料金確認,120分の料金いくらですか
料金確認,電波悪いかもですけど、総額いくらになります？
料金確認,仕事終わりなんですけど、料金いくらですか？
料金確認,一番安いやつの料金いくらですか
料金確認,短いやつの料金いくらですか
料金確認,料金だけ先に聞きたい
料金確認,今いいですか、90分はいくら？
料金確認,スタンダードに指名料足すといくら？
料金確認,会計は先払い？
料金確認,もしもし、初回料金教えて
料金確認,込み込みでいくら？
料金確認,すいません、料金いくらですか？
